StudentID,IAT1,IAT2,Model_Mark,Prev_Year_Label,Label
S050001,31,67,62,NIL,Good
S050002,86,43,51,NIL,Average
S050003,62,44,53,Good,Good
S050004,33,56,20,Average,Poor
S050005,54,33,73,Average,Good
S050006,96,51,98,Average,Good
S050007,25,30,44,Good,Poor
S050008,70,90,90,NIL,Poor
S050009,21,55,32,Average,Poor
S050010,54,52,56,Good,Good
S050011,71,37,50,Poor,Average
S050012,69,87,75,Good,Good
S050013,49,41,41,Poor,Average
S050014,54,26,58,NIL,Poor
S050015,21,70,76,NIL,Poor
S050016,73,91,58,Poor,Good
S050017,54,39,45,Average,Average
S050018,51,36,41,Poor,Average
S050019,48,48,91,Poor,Poor
S050020,58,75,37,Poor,Poor
S050021,38,74,48,Average,Average
S050022,36,28,74,NIL,Average
S050023,48,29,39,NIL,Poor
S050024,93,97,76,Good,Average
S050025,27,40,27,Average,Good
S050026,36,24,76,Poor,Poor
S050027,25,27,28,NIL,Average
S050028,75,28,94,Good,Poor
S050029,21,99,76,Average,Average
S050030,65,32,75,Average,Average
S050031,58,38,42,Average,Good
S050032,47,64,51,Poor,Average
S050033,36,53,53,Poor,Good
S050034,31,97,93,NIL,Good
S050035,30,36,65,NIL,Average
S050036,54,38,46,Poor,Good
S050037,46,48,99,Poor,Poor
S050038,53,51,27,Average,Average
S050039,25,90,98,NIL,Average
S050040,90,35,43,Good,Poor
S050041,85,38,24,Average,Poor
S050042,97,87,85,Poor,Good
S050043,66,61,53,NIL,Poor
S050044,81,59,82,Average,Good
S050045,62,100,54,Average,Poor
S050046,75,62,36,Average,Good
S050047,39,38,95,Average,Average
S050048,86,55,91,Poor,Average
S050049,46,72,99,Poor,Poor
S050050,91,89,74,NIL,Average
S050051,47,79,78,Good,Poor
S050052,79,100,64,NIL,Average
S050053,75,64,26,Average,Poor
S050054,53,85,66,Good,Good
S050055,72,45,83,Poor,Poor
S050056,55,27,49,Good,Poor
S050057,60,45,55,Poor,Average
S050058,97,72,25,Average,Average
S050059,53,63,44,NIL,Average
S050060,60,84,95,Poor,Poor
S050061,89,54,90,NIL,Average
S050062,35,25,86,NIL,Good
S050063,90,80,67,Good,Poor
S050064,86,21,84,Average,Good
S050065,31,53,40,NIL,Good
S050066,20,27,30,Good,Average
S050067,87,78,44,Average,Poor
S050068,64,30,47,NIL,Good
S050069,65,97,54,Poor,Poor
S050070,77,44,51,Average,Good
S050071,53,46,32,Average,Good
S050072,73,82,45,Average,Poor
S050073,20,57,41,Poor,Average
S050074,68,32,49,Average,Average
S050075,72,81,65,NIL,Average
S050076,90,34,42,NIL,Average
S050077,92,83,67,NIL,Good
S050078,66,29,90,Good,Poor
S050079,66,93,38,Average,Poor
S050080,56,43,24,Average,Good
S050081,35,25,99,Poor,Good
S050082,39,54,84,NIL,Good
S050083,20,26,30,Good,Good
S050084,72,26,95,Poor,Average
S050085,37,83,100,Average,Average
S050086,54,82,27,NIL,Poor
S050087,53,78,46,Poor,Average
S050088,21,87,84,Average,Poor
S050089,93,21,93,Average,Average
S050090,61,32,31,Poor,Poor
S050091,29,83,86,Good,Poor
S050092,26,30,46,NIL,Average
S050093,45,40,54,Average,Poor
S050094,62,51,31,Good,Good
S050095,21,25,61,Average,Good
S050096,84,60,84,Good,Good
S050097,35,99,88,Poor,Average
S050098,32,80,65,Good,Good
S050099,30,74,39,NIL,Poor
S050100,74,79,49,Poor,Poor
S050101,21,24,48,Poor,Good
S050102,36,20,64,Average,Poor
S050103,82,41,55,Good,Average
S050104,28,96,46,Average,Poor
S050105,57,91,89,Poor,Average
S050106,28,41,83,Poor,Average
S050107,37,84,84,Average,Good
S050108,96,45,84,NIL,Poor
S050109,45,28,84,Good,Good
S050110,56,31,71,Average,Good
S050111,63,32,66,Poor,Good
S050112,82,21,62,Poor,Average
S050113,86,24,63,Good,Average
S050114,46,73,46,Poor,Poor
S050115,75,89,48,NIL,Poor
S050116,32,70,88,NIL,Good
S050117,60,41,84,Average,Average
S050118,32,42,74,Average,Good
S050119,29,90,93,NIL,Poor
S050120,97,83,72,NIL,Good
S050121,35,78,42,Average,Average
S050122,68,26,33,Average,Average
S050123,97,92,23,Average,Average
S050124,24,44,64,NIL,Average
S050125,25,96,91,Good,Average
S050126,54,31,45,Poor,Average
S050127,63,73,64,Average,Poor
S050128,88,40,29,NIL,Average
S050129,87,31,44,Average,Poor
S050130,67,83,87,NIL,Good
S050131,44,81,31,Average,Good
S050132,93,77,67,Good,Good
S050133,33,75,37,NIL,Average
S050134,28,23,22,NIL,Poor
S050135,27,71,53,Average,Poor
S050136,55,22,71,Poor,Poor
S050137,85,90,47,Average,Good
S050138,92,86,99,Poor,Poor
S050139,74,87,54,NIL,Good
S050140,52,92,43,Average,Average
S050141,77,22,42,Poor,Poor
S050142,85,48,84,NIL,Poor
S050143,51,20,61,Average,Poor
S050144,31,40,60,Poor,Average
S050145,27,59,29,Average,Poor
S050146,38,20,82,NIL,Poor
S050147,87,20,98,Average,Average
S050148,59,60,55,Average,Average
S050149,75,61,49,Poor,Average
S050150,92,27,32,Poor,Poor
S050151,63,79,89,Poor,Poor
S050152,99,49,81,Poor,Average
S050153,37,93,77,NIL,Poor
S050154,22,20,71,Poor,Average
S050155,61,60,83,NIL,Average
S050156,100,98,78,NIL,Good
S050157,46,74,61,Average,Good
S050158,77,85,57,Average,Average
S050159,27,98,61,Poor,Good
S050160,47,83,70,Good,Good
S050161,20,93,83,Average,Poor
S050162,30,39,57,Good,Poor
S050163,25,48,69,Good,Average
S050164,36,82,36,Poor,Good
S050165,24,49,83,NIL,Average
S050166,83,42,32,Poor,Average
S050167,53,100,99,Average,Poor
S050168,94,32,60,Good,Average
S050169,49,31,51,Average,Good
S050170,26,64,62,Poor,Good
S050171,71,20,24,NIL,Good
S050172,21,33,88,Average,Good
S050173,86,33,92,Good,Average
S050174,82,41,86,NIL,Poor
S050175,21,43,49,Good,Good
S050176,86,72,80,NIL,Good
S050177,33,76,81,Average,Average
S050178,57,70,33,Poor,Good
S050179,59,29,45,Good,Poor
S050180,53,39,95,Poor,Average
S050181,38,40,52,Poor,Poor
S050182,46,61,42,Poor,Average
S050183,39,62,34,NIL,Poor
S050184,99,77,81,NIL,Poor
S050185,100,47,98,Good,Good
S050186,76,56,72,Poor,Good
S050187,35,80,44,Poor,Good
S050188,21,58,33,Average,Good
S050189,64,85,42,Average,Good
S050190,67,99,79,Average,Good
S050191,78,85,25,Average,Average
S050192,41,100,91,Poor,Poor
S050193,40,37,43,Poor,Average
S050194,68,36,97,Poor,Average
S050195,71,86,42,Average,Average
S050196,92,48,75,Poor,Average
S050197,89,54,47,NIL,Good
S050198,34,48,63,NIL,Average
S050199,63,35,35,NIL,Good
S050200,46,98,73,Average,Good
S050201,48,35,71,Poor,Poor
S050202,57,41,61,Average,Poor
S050203,80,60,84,Average,Poor
S050204,38,92,67,NIL,Poor
S050205,27,75,61,Good,Average
S050206,85,75,50,NIL,Average
S050207,61,33,89,NIL,Average
S050208,59,33,90,Poor,Good
S050209,36,79,98,Good,Poor
S050210,60,43,56,Average,Good
S050211,58,58,37,NIL,Poor
S050212,23,75,24,Good,Good
S050213,27,42,88,Good,Poor
S050214,66,47,21,Average,Good
S050215,81,24,95,Poor,Poor
S050216,39,95,44,NIL,Good
S050217,89,83,32,NIL,Poor
S050218,58,65,78,Good,Average
S050219,78,60,65,Good,Good
S050220,61,95,46,Poor,Good
S050221,20,61,56,Average,Good
S050222,93,75,45,NIL,Poor
S050223,58,69,65,Poor,Good
S050224,83,20,68,Average,Average
S050225,23,69,45,Poor,Good
S050226,26,78,87,Good,Good
S050227,45,26,66,NIL,Good
S050228,74,48,56,Poor,Average
S050229,33,88,99,NIL,Good
S050230,97,60,94,Average,Poor
S050231,93,26,22,Average,Good
S050232,93,39,92,Poor,Good
S050233,51,81,25,Good,Poor
S050234,90,21,95,Good,Poor
S050235,76,90,58,NIL,Poor
S050236,88,62,54,NIL,Good
S050237,34,83,40,Poor,Poor
S050238,65,21,72,Average,Good
S050239,45,25,30,Good,Poor
S050240,46,27,20,Poor,Poor
S050241,65,40,74,NIL,Good
S050242,73,61,65,Average,Average
S050243,68,93,92,Good,Poor
S050244,92,67,94,Good,Good
S050245,83,42,81,Good,Average
S050246,90,38,77,NIL,Poor
S050247,45,69,27,Poor,Poor
S050248,85,76,97,Poor,Good
S050249,78,66,72,Average,Average
S050250,77,68,99,Average,Average
S050251,70,68,71,NIL,Average
S050252,99,30,99,Good,Poor
S050253,97,90,38,Average,Poor
S050254,90,45,20,Poor,Good
S050255,75,20,23,Poor,Poor
S050256,73,47,59,Average,Average
S050257,28,95,91,NIL,Poor
S050258,72,28,97,Good,Poor
S050259,97,53,100,Poor,Good
S050260,47,85,100,NIL,Average
S050261,77,22,73,Good,Good
S050262,95,96,38,Average,Poor
S050263,46,21,78,Poor,Good
S050264,40,50,74,Average,Good
S050265,38,60,44,NIL,Poor
S050266,58,77,70,Average,Average
S050267,40,96,72,Average,Poor
S050268,93,67,98,Poor,Good
S050269,30,36,94,Good,Poor
S050270,95,100,68,Poor,Average
S050271,75,29,66,Average,Poor
S050272,55,21,59,NIL,Poor
S050273,32,62,21,Average,Poor
S050274,71,75,72,NIL,Average
S050275,42,100,37,Poor,Average
S050276,69,23,69,Poor,Poor
S050277,35,67,38,NIL,Average
S050278,91,91,34,Average,Poor
S050279,81,23,28,Average,Average
S050280,88,42,44,NIL,Poor
S050281,53,84,98,Poor,Average
S050282,97,49,82,Poor,Good
S050283,88,38,26,Good,Average
S050284,87,33,22,Poor,Average
S050285,43,58,84,Good,Average
S050286,26,73,27,Average,Average
S050287,79,87,26,NIL,Poor
S050288,98,38,43,Poor,Average
S050289,59,53,90,Average,Poor
S050290,97,69,66,Good,Good
S050291,68,98,100,Poor,Average
S050292,22,60,88,Good,Good
S050293,32,27,53,Poor,Poor
S050294,46,60,56,Average,Average
S050295,21,44,60,Good,Good
S050296,100,77,73,Good,Average
S050297,36,56,55,Average,Good
S050298,79,23,26,Average,Poor
S050299,51,35,100,Poor,Average
S050300,81,80,40,NIL,Poor
S050301,51,22,81,NIL,Good
S050302,56,86,56,NIL,Average
S050303,67,76,93,NIL,Average
S050304,94,37,77,Average,Good
S050305,32,58,32,Poor,Average
S050306,85,52,27,Poor,Poor
S050307,55,85,94,Good,Good
S050308,50,91,54,Average,Good
S050309,63,97,53,Poor,Average
S050310,29,68,90,NIL,Poor
S050311,80,45,60,Good,Average
S050312,70,82,55,Poor,Average
S050313,34,75,61,NIL,Average
S050314,36,85,72,NIL,Poor
S050315,47,28,69,Good,Average
S050316,36,73,54,Average,Good
S050317,24,27,69,Good,Good
S050318,89,98,48,NIL,Average
S050319,22,25,45,Poor,Good
S050320,58,21,25,NIL,Poor
S050321,37,65,27,Poor,Average
S050322,80,68,100,Good,Good
S050323,76,85,85,Average,Good
S050324,61,73,90,NIL,Good
S050325,96,53,90,NIL,Good
S050326,53,70,65,Average,Poor
S050327,43,22,27,Good,Poor
S050328,34,57,22,Poor,Average
S050329,69,41,90,Poor,Good
S050330,85,98,62,Poor,Poor
S050331,33,42,83,NIL,Good
S050332,93,97,26,Poor,Good
S050333,67,57,57,Good,Average
S050334,87,80,56,Poor,Average
S050335,45,35,42,Average,Average
S050336,81,88,85,Average,Average
S050337,42,35,51,NIL,Average
S050338,61,82,30,Good,Poor
S050339,74,90,74,Poor,Average
S050340,24,76,34,Poor,Average
S050341,82,87,34,Average,Good
S050342,85,91,48,NIL,Poor
S050343,90,26,27,Average,Poor
S050344,80,41,25,Poor,Poor
S050345,84,97,75,Good,Good
S050346,86,88,43,Poor,Average
S050347,21,49,21,Poor,Good
S050348,56,25,75,Average,Good
S050349,86,36,56,Average,Good
S050350,67,51,97,NIL,Good
S050351,74,46,80,Good,Average
S050352,61,23,80,NIL,Good
S050353,84,64,30,Poor,Poor
S050354,80,40,27,Average,Average
S050355,59,81,54,Average,Good
S050356,70,51,21,Average,Poor
S050357,65,37,36,Good,Average
S050358,37,25,72,Average,Good
S050359,65,86,78,Good,Poor
S050360,75,38,71,Poor,Poor
S050361,79,79,47,Poor,Poor
S050362,62,50,51,Good,Poor
S050363,68,83,37,Poor,Poor
S050364,88,90,88,Good,Good
S050365,93,44,84,NIL,Good
S050366,48,94,38,Poor,Good
S050367,43,37,76,Poor,Poor
S050368,26,55,64,Poor,Good
S050369,74,31,41,Poor,Average
S050370,96,40,55,Average,Average
S050371,69,58,46,Good,Poor
S050372,85,92,25,Average,Good
S050373,65,58,61,NIL,Good
