StudentID,IAT1,IAT2,Model_Mark,Prev_Year_Label,Label
S060001,46,82,32,Poor,Average
S060002,33,82,34,Average,Poor
S060003,89,73,75,Poor,Poor
S060004,44,24,86,NIL,Average
S060005,67,66,87,Poor,Poor
S060006,95,71,53,Poor,Good
S060007,61,67,51,Good,Average
S060008,57,29,89,NIL,Good
S060009,55,77,34,NIL,Average
S060010,46,70,38,Average,Poor
S060011,78,61,70,Poor,Good
S060012,26,62,71,Good,Poor
S060013,27,98,94,Good,Poor
S060014,41,90,32,Good,Good
S060015,48,39,54,NIL,Average
S060016,86,28,48,Average,Average
S060017,74,87,56,NIL,Average
S060018,99,89,32,Average,Good
S060019,36,55,87,Good,Poor
S060020,69,64,57,Good,Poor
S060021,95,68,62,Average,Average
S060022,34,22,61,Average,Good
S060023,43,31,71,NIL,Average
S060024,28,67,51,Poor,Average
S060025,67,85,47,Average,Good
S060026,41,20,28,Good,Good
S060027,41,73,99,Poor,Poor
S060028,79,68,48,Poor,Poor
S060029,37,90,35,NIL,Poor
S060030,28,55,40,Good,Good
S060031,37,64,42,Poor,Good
S060032,80,26,24,NIL,Average
S060033,90,29,65,NIL,Poor
S060034,22,89,92,Poor,Poor
S060035,25,42,49,NIL,Poor
S060036,41,70,58,Good,Good
S060037,84,64,46,NIL,Good
S060038,62,79,21,Poor,Good
S060039,38,61,43,Poor,Good
S060040,77,75,96,NIL,Poor
S060041,53,68,85,NIL,Poor
S060042,28,38,83,Poor,Poor
S060043,26,59,79,Good,Poor
S060044,40,21,64,Good,Poor
S060045,88,30,52,Good,Poor
S060046,79,55,83,Good,Poor
S060047,35,76,30,NIL,Average
S060048,88,69,91,Good,Average
S060049,79,60,83,Poor,Average
S060050,43,28,73,Good,Poor
S060051,66,81,26,Poor,Poor
S060052,54,34,39,NIL,Poor
S060053,61,71,67,Poor,Poor
S060054,33,59,73,Average,Average
S060055,36,54,59,NIL,Average
S060056,61,71,66,Poor,Average
S060057,91,37,58,Good,Average
S060058,29,99,35,Average,Poor
S060059,40,69,98,Average,Average
S060060,98,36,81,Good,Average
S060061,57,33,81,Poor,Good
S060062,71,53,89,Poor,Average
S060063,99,67,84,Average,Average
S060064,91,47,76,Good,Good
S060065,39,55,57,Poor,Average
S060066,42,61,76,Good,Poor
S060067,91,45,33,Good,Poor
S060068,20,76,72,NIL,Poor
S060069,39,35,33,Poor,Poor
S060070,24,29,86,Poor,Good
S060071,36,100,61,Average,Average
S060072,36,58,36,Good,Poor
S060073,47,69,23,Good,Average
S060074,36,20,27,Average,Poor
S060075,60,64,72,Poor,Good
S060076,43,51,65,NIL,Good
S060077,62,93,44,Poor,Good
S060078,71,48,45,NIL,Average
S060079,27,68,22,Good,Good
S060080,58,69,66,NIL,Average
S060081,96,36,36,NIL,Average
S060082,96,79,65,Average,Good
S060083,21,67,50,NIL,Average
S060084,75,38,57,NIL,Good
S060085,47,24,94,NIL,Good
S060086,37,67,47,NIL,Poor
S060087,95,59,27,NIL,Poor
S060088,43,59,35,Average,Good
S060089,100,80,44,Good,Average
S060090,85,96,90,Good,Good
S060091,86,61,63,Average,Poor
S060092,25,91,36,Average,Average
S060093,63,93,89,Good,Good
S060094,53,68,37,Poor,Poor
S060095,39,83,78,Good,Poor
S060096,22,28,57,Good,Good
S060097,23,37,84,Good,Average
S060098,24,99,37,Good,Average
S060099,37,55,82,Good,Good
S060100,70,75,85,Poor,Poor
S060101,87,21,79,Average,Average
S060102,71,24,29,NIL,Poor
S060103,68,72,35,Average,Poor
S060104,91,71,58,Average,Poor
S060105,38,43,97,NIL,Good
S060106,27,39,93,Good,Average
S060107,91,28,78,Poor,Poor
S060108,40,100,84,Poor,Poor
S060109,88,93,48,NIL,Average
S060110,50,80,29,NIL,Average
S060111,69,20,85,Good,Poor
S060112,88,22,24,Good,Average
S060113,20,30,82,Poor,Average
S060114,32,26,48,Poor,Good
S060115,34,100,67,Average,Average
S060116,44,75,31,Poor,Poor
S060117,72,89,30,Good,Good
S060118,60,67,50,NIL,Good
S060119,41,99,41,Poor,Poor
S060120,56,37,68,Good,Average
S060121,75,58,68,Poor,Average
S060122,36,89,32,Good,Average
S060123,63,22,66,Average,Good
S060124,97,81,89,Average,Poor
S060125,98,35,54,Average,Poor
S060126,81,78,37,Good,Average
S060127,54,78,63,NIL,Good
S060128,81,29,22,Poor,Average
S060129,39,81,43,Poor,Average
S060130,42,53,40,Poor,Good
S060131,29,58,94,Poor,Good
S060132,47,39,34,Good,Poor
S060133,27,35,27,Average,Average
S060134,56,81,68,Good,Good
S060135,98,63,22,Poor,Good
S060136,83,45,64,Poor,Good
S060137,94,54,51,Poor,Poor
