StudentID,IAT1,IAT2,Model_Mark,Prev_Year_Label,Label
S010001,54,20,66,NIL,Poor
S010002,48,69,87,Poor,Average
S010003,99,37,71,Average,Poor
S010004,57,26,46,Good,Poor
S010005,81,90,45,Average,Average
S010006,45,93,97,Average,Good
S010007,87,78,88,NIL,Average
S010008,50,37,53,Poor,Poor
S010009,87,63,69,Good,Good
S010010,61,26,86,Average,Poor
S010011,96,36,48,Poor,Average
S010012,41,94,86,Good,Average
S010013,77,72,67,Poor,Average
S010014,89,77,73,Average,Good
S010015,92,59,84,Good,Good
S010016,96,40,57,Average,Poor
S010017,53,70,72,Poor,Good
S010018,45,28,92,NIL,Average
S010019,43,29,44,Poor,Poor
S010020,59,25,54,NIL,Good
S010021,38,63,44,Average,Poor
S010022,32,99,60,Average,Average
S010023,66,41,55,Good,Average
S010024,85,93,93,Average,Good
S010025,99,52,83,Good,Poor
S010026,77,33,55,NIL,Average
S010027,67,65,36,Poor,Good
S010028,65,71,51,Poor,Good
S010029,91,39,78,NIL,Poor
S010030,87,100,93,Poor,Average
S010031,78,90,41,Poor,Poor
S010032,98,91,59,Average,Poor
S010033,31,23,34,Good,Poor
S010034,27,57,53,NIL,Average
S010035,28,46,92,NIL,Good
S010036,62,76,99,Good,Good
S010037,52,83,83,Poor,Poor
S010038,64,81,51,Average,Average
S010039,67,32,91,Average,Good
S010040,81,49,83,NIL,Good
S010041,92,68,57,Good,Average
S010042,68,49,76,Poor,Good
S010043,49,98,92,Poor,Poor
S010044,23,42,75,NIL,Poor
S010045,42,36,41,Good,Average
S010046,56,20,98,Good,Good
S010047,33,94,52,Poor,Good
S010048,78,59,36,Good,Average
S010049,99,89,59,NIL,Good
S010050,96,43,96,NIL,Good
S010051,63,65,74,Poor,Poor
S010052,69,65,66,Average,Average
S010053,28,73,21,Poor,Poor
S010054,25,66,57,Poor,Average
S010055,25,88,34,Poor,Average
S010056,51,38,44,NIL,Poor
S010057,60,62,59,NIL,Poor
S010058,84,62,63,Poor,Good
S010059,77,77,83,NIL,Average
S010060,74,60,48,Poor,Good
S010061,52,84,85,NIL,Poor
S010062,93,66,30,Good,Good
S010063,40,66,37,Good,Average
S010064,28,78,21,Average,Good
S010065,33,89,54,Poor,Good
S010066,44,22,46,Average,Poor
S010067,87,69,20,Poor,Average
S010068,53,34,20,Poor,Average
S010069,20,25,60,Poor,Good
S010070,30,56,85,Good,Poor
S010071,73,72,33,Good,Good
S010072,28,61,75,Good,Good
S010073,77,97,55,Good,Average
S010074,45,48,31,NIL,Average
S010075,48,77,48,Good,Poor
S010076,49,59,88,NIL,Average
S010077,69,59,95,Poor,Good
S010078,85,53,49,Average,Average
S010079,41,26,22,Average,Poor
S010080,80,75,90,Average,Average
S010081,59,32,40,Good,Good
S010082,89,61,79,Average,Average
S010083,48,27,78,Good,Poor
S010084,79,66,87,Poor,Good
S010085,36,54,55,Poor,Poor
S010086,76,71,100,NIL,Good
S010087,99,41,23,Average,Average
S010088,95,52,33,Good,Average
S010089,88,50,67,Poor,Poor
S010090,38,89,25,Average,Good
S010091,27,90,27,Average,Good
S010092,70,49,86,Good,Good
S010093,88,22,100,Average,Average
S010094,69,62,60,Average,Average
S010095,75,56,47,NIL,Good
S010096,80,97,32,Poor,Good
S010097,40,60,21,NIL,Good
S010098,62,30,78,NIL,Poor
S010099,86,41,23,NIL,Average
S010100,22,43,84,Good,Poor
S010101,43,53,34,Poor,Good
S010102,20,29,85,Good,Good
S010103,85,98,66,NIL,Poor
S010104,33,28,90,Good,Poor
S010105,24,35,88,Average,Poor
S010106,58,96,43,Poor,Good
S010107,42,34,86,Poor,Average
S010108,96,65,99,Good,Average
S010109,98,55,44,Poor,Good
S010110,88,38,42,Poor,Poor
S010111,65,30,53,Good,Average
S010112,93,72,79,NIL,Average
S010113,35,27,42,Good,Good
S010114,34,65,79,Poor,Average
S010115,30,82,90,Average,Average
S010116,43,43,68,Good,Good
S010117,75,34,87,Average,Good
S010118,75,66,57,Good,Poor
S010119,74,34,55,Poor,Average
S010120,83,49,100,Poor,Average
S010121,58,49,88,Good,Good
S010122,59,70,36,Average,Poor
S010123,55,50,38,Poor,Good
S010124,73,89,85,Good,Good
S010125,77,95,29,Average,Average
S010126,81,37,38,NIL,Good
S010127,96,58,46,NIL,Average
S010128,25,67,28,Average,Poor
S010129,51,44,68,Good,Good
S010130,28,53,65,Poor,Average
S010131,43,32,29,NIL,Poor
S010132,20,76,74,NIL,Average
S010133,70,43,26,Poor,Average
S010134,89,42,95,Average,Average
S010135,26,83,97,NIL,Good
S010136,38,46,58,Good,Poor
S010137,50,54,36,Average,Average
S010138,37,36,61,Poor,Good
S010139,55,100,55,Good,Good
S010140,95,32,63,Average,Poor
S010141,71,84,51,Good,Poor
S010142,82,41,28,Poor,Poor
S010143,88,68,27,Good,Average
S010144,36,27,82,Poor,Poor
S010145,69,25,54,Average,Good
S010146,77,93,24,Good,Good
S010147,45,25,31,Poor,Poor
S010148,40,80,88,Poor,Average
S010149,62,97,63,Poor,Poor
S010150,82,71,39,Average,Poor
S010151,39,21,72,Average,Good
S010152,67,84,39,Average,Poor
S010153,73,27,48,Poor,Poor
S010154,24,42,50,Average,Good
S010155,73,100,36,Average,Poor
S010156,54,61,27,Poor,Good
