StudentID,IAT1,IAT2,Model_Mark,Prev_Year_Label,Label
S020001,92,49,74,NIL,Poor
S020002,33,26,72,Average,Good
S020003,72,61,42,Average,Poor
S020004,21,56,34,NIL,Good
S020005,53,78,53,NIL,Good
S020006,41,55,73,Poor,Good
S020007,57,50,96,Good,Good
S020008,95,50,44,NIL,Good
S020009,74,58,48,NIL,Good
S020010,94,54,74,Poor,Average
S020011,88,75,39,Average,Poor
S020012,48,88,34,Average,Average
S020013,52,41,52,Poor,Average
S020014,43,30,43,Poor,Poor
S020015,46,51,44,Average,Good
S020016,29,36,61,Average,Good
S020017,82,65,88,Average,Good
S020018,93,67,20,Good,Poor
S020019,23,84,30,Good,Good
S020020,92,70,85,Average,Poor
S020021,72,92,96,Good,Poor
S020022,45,67,79,Poor,Poor
S020023,97,60,56,NIL,Average
S020024,29,87,51,Good,Good
S020025,55,29,35,Average,Good
S020026,39,36,50,Average,Poor
S020027,52,73,59,NIL,Good
S020028,62,91,89,Poor,Average
S020029,78,45,58,Good,Good
S020030,20,31,54,Poor,Average
S020031,90,54,84,Good,Poor
S020032,65,72,60,NIL,Average
S020033,86,60,97,NIL,Average
S020034,51,50,76,NIL,Average
S020035,40,50,54,NIL,Poor
S020036,70,95,67,Poor,Good
S020037,86,37,51,Poor,Average
S020038,29,63,70,Good,Good
S020039,42,75,46,NIL,Good
S020040,59,83,98,Poor,Average
S020041,51,79,79,NIL,Poor
S020042,37,66,45,Average,Poor
S020043,23,30,38,Average,Good
S020044,56,63,39,NIL,Average
S020045,87,67,36,Poor,Average
S020046,63,57,80,NIL,Good
S020047,64,55,48,Average,Good
S020048,44,88,97,Poor,Poor
S020049,56,60,42,Average,Good
S020050,31,100,62,NIL,Average
S020051,63,29,27,Good,Average
S020052,90,75,92,Average,Good
S020053,68,22,22,Good,Poor
S020054,67,41,59,Poor,Good
S020055,86,27,40,Poor,Good
S020056,43,85,85,Good,Average
S020057,81,72,90,Poor,Average
S020058,52,95,89,Poor,Poor
S020059,37,56,22,Average,Good
S020060,68,78,28,Good,Good
S020061,78,58,99,Good,Good
S020062,32,79,58,Average,Poor
S020063,52,99,23,NIL,Good
S020064,95,55,63,Poor,Average
S020065,79,30,46,Good,Poor
S020066,30,94,27,NIL,Average
S020067,72,63,53,Good,Poor
S020068,51,96,41,NIL,Average
S020069,67,29,68,Average,Average
S020070,69,20,31,Good,Average
S020071,47,52,47,Good,Poor
S020072,37,92,84,Poor,Average
S020073,91,81,51,Average,Good
S020074,86,51,82,Average,Good
S020075,77,55,56,Average,Average
S020076,91,48,52,Poor,Average
S020077,30,78,22,Average,Good
S020078,82,23,38,Average,Poor
S020079,90,95,90,Average,Good
S020080,88,31,48,Good,Poor
S020081,30,31,100,Poor,Poor
S020082,67,96,26,NIL,Poor
S020083,92,27,39,Average,Average
S020084,77,80,34,Average,Poor
S020085,30,39,33,NIL,Average
S020086,31,37,64,Average,Good
S020087,25,45,79,Poor,Poor
S020088,89,88,79,Good,Poor
S020089,28,57,54,Average,Poor
S020090,55,83,59,Poor,Average
S020091,99,87,64,Average,Average
S020092,69,25,95,Average,Poor
S020093,92,93,92,Poor,Poor
S020094,64,41,100,Poor,Average
S020095,96,87,23,Poor,Good
S020096,37,27,39,Average,Good
S020097,58,92,72,Poor,Average
S020098,67,22,90,NIL,Poor
S020099,52,95,97,Poor,Good
S020100,47,59,26,NIL,Average
S020101,100,46,93,Average,Good
S020102,26,39,40,Poor,Average
S020103,83,54,63,NIL,Average
S020104,80,30,74,Average,Good
S020105,65,34,51,NIL,Poor
S020106,55,44,34,Average,Good
S020107,61,71,22,Average,Poor
S020108,22,42,56,NIL,Good
S020109,43,100,23,Good,Average
S020110,55,48,81,Average,Good
S020111,85,79,68,NIL,Average
S020112,52,72,28,Average,Good
S020113,97,82,75,Average,Average
S020114,68,51,28,Good,Average
S020115,21,98,24,Good,Average
S020116,69,77,63,Average,Good
S020117,94,75,79,NIL,Good
S020118,46,36,51,NIL,Good
S020119,73,81,62,Poor,Poor
S020120,40,35,21,NIL,Good
S020121,68,96,68,Poor,Average
S020122,33,81,30,NIL,Good
S020123,49,29,45,Poor,Average
S020124,38,22,70,Average,Poor
S020125,94,79,21,Good,Good
S020126,37,48,22,Average,Good
S020127,98,34,39,Poor,Average
S020128,68,88,51,Good,Average
S020129,34,99,39,Average,Average
S020130,42,76,80,Good,Average
S020131,49,72,92,NIL,Poor
S020132,81,39,36,NIL,Poor
S020133,95,71,21,NIL,Average
S020134,42,85,37,Poor,Poor
S020135,84,67,50,Average,Poor
S020136,46,67,80,Good,Good
S020137,55,59,94,Poor,Poor
S020138,36,68,32,Average,Good
S020139,34,66,40,Good,Average
S020140,53,77,73,Poor,Good
S020141,100,32,60,NIL,Average
S020142,73,35,66,NIL,Average
S020143,38,71,85,Good,Good
S020144,67,96,37,Average,Poor
S020145,30,37,29,Poor,Average
S020146,87,39,82,Good,Good
S020147,25,27,61,NIL,Average
S020148,76,38,89,NIL,Good
S020149,59,65,91,Poor,Poor
S020150,29,72,64,NIL,Good
S020151,93,64,68,Average,Good
S020152,52,74,35,Poor,Average
S020153,64,63,38,Poor,Poor
S020154,77,67,30,Average,Average
S020155,46,29,69,Good,Good
S020156,91,87,45,NIL,Poor
S020157,85,93,82,Average,Poor
S020158,67,90,32,Average,Average
S020159,95,27,88,NIL,Good
S020160,66,89,40,Good,Average
S020161,59,100,95,NIL,Poor
S020162,54,28,27,Poor,Poor
S020163,22,68,30,Good,Good
S020164,97,29,22,Good,Good
S020165,61,34,87,Good,Good
S020166,26,40,72,Poor,Good
S020167,33,98,23,NIL,Poor
S020168,21,49,51,Good,Average
S020169,63,55,65,Poor,Average
S020170,88,34,89,Good,Poor
S020171,56,28,85,Average,Good
S020172,91,52,75,Average,Poor
S020173,51,72,72,Average,Average
S020174,89,34,92,Good,Average
S020175,39,37,45,Average,Good
S020176,85,97,68,NIL,Average
S020177,42,54,65,NIL,Poor
S020178,50,81,84,Average,Poor
S020179,80,51,83,Good,Poor
S020180,22,35,28,Poor,Good
S020181,90,87,100,Good,Good
S020182,23,49,79,Average,Average
S020183,54,35,94,Good,Average
S020184,27,65,99,Average,Poor
S020185,93,41,23,Poor,Poor
S020186,39,55,32,Good,Poor
S020187,75,37,72,Average,Poor
S020188,88,47,77,Average,Average
S020189,51,41,79,Poor,Poor
S020190,41,66,71,NIL,Poor
S020191,23,77,75,Poor,Average
S020192,84,35,26,Average,Average
S020193,64,35,100,NIL,Average
S020194,67,30,80,NIL,Average
S020195,85,57,58,Poor,Poor
S020196,62,49,32,Average,Good
S020197,74,96,48,Average,Poor
S020198,42,34,88,NIL,Good
S020199,75,94,100,NIL,Poor
S020200,35,20,40,Good,Average
S020201,36,31,93,Average,Average
S020202,61,51,71,NIL,Good
S020203,74,89,52,Average,Average
S020204,68,65,72,Good,Average
S020205,66,89,51,Poor,Good
S020206,98,25,84,NIL,Average
S020207,84,35,97,NIL,Average
S020208,53,91,66,NIL,Poor
S020209,51,87,48,Poor,Good
S020210,70,65,23,Good,Poor
S020211,45,26,100,NIL,Poor
S020212,95,88,64,NIL,Poor
S020213,86,80,38,Good,Poor
S020214,80,50,98,Good,Average
S020215,88,43,85,Good,Good
S020216,28,67,71,Good,Good
S020217,51,89,47,Good,Poor
S020218,52,94,55,Poor,Poor
S020219,39,82,94,Poor,Poor
S020220,77,48,85,Average,Poor
S020221,84,65,50,NIL,Poor
S020222,90,58,63,Good,Good
S020223,44,75,64,Poor,Good
S020224,42,87,59,Poor,Average
S020225,25,31,85,Good,Good
S020226,47,76,66,Good,Average
S020227,90,56,45,Poor,Good
S020228,98,80,81,NIL,Good
S020229,76,51,41,Average,Poor
S020230,98,58,21,Average,Average
S020231,65,78,48,Good,Average
S020232,59,29,88,Good,Poor
S020233,37,92,76,Good,Average
S020234,75,58,40,Good,Poor
S020235,61,83,22,Average,Good
S020236,57,23,92,NIL,Poor
S020237,85,44,48,Average,Poor
S020238,34,79,75,Good,Poor
S020239,29,90,71,Poor,Average
S020240,82,71,71,Good,Poor
S020241,36,45,44,Good,Poor
S020242,57,81,42,Good,Good
S020243,86,71,41,Average,Poor
S020244,53,90,30,NIL,Good
S020245,88,78,52,Poor,Good
S020246,88,77,96,NIL,Average
S020247,41,98,28,Good,Good
S020248,43,51,86,NIL,Good
S020249,88,66,73,Average,Good
S020250,32,31,64,Good,Poor
S020251,85,99,82,NIL,Good
S020252,81,59,41,NIL,Average
S020253,69,96,74,Average,Average
S020254,31,97,59,Average,Average
S020255,59,30,38,Poor,Poor
S020256,77,40,40,Poor,Average
S020257,45,56,25,Average,Poor
S020258,97,77,85,Good,Average
S020259,83,59,40,NIL,Average
S020260,53,60,36,Poor,Average
S020261,98,46,61,Good,Good
S020262,69,22,81,NIL,Average
S020263,93,63,50,Average,Poor
S020264,30,44,67,Poor,Good
S020265,34,49,78,Poor,Poor
S020266,50,53,94,Poor,Average
S020267,42,76,29,NIL,Good
S020268,90,72,53,Average,Poor
S020269,37,39,46,NIL,Average
S020270,53,32,91,Good,Poor
S020271,82,63,65,Average,Poor
S020272,74,71,50,NIL,Poor
S020273,52,22,66,NIL,Average
S020274,68,23,34,Poor,Average
S020275,73,84,65,Poor,Good
S020276,99,35,38,Good,Average
S020277,52,91,90,Poor,Poor
S020278,49,72,34,Poor,Poor
S020279,66,82,36,Average,Average
S020280,82,36,83,Poor,Average
S020281,46,100,84,Average,Average
S020282,72,26,75,Good,Average
S020283,24,71,75,NIL,Good
S020284,39,75,100,Good,Poor
S020285,52,72,29,Average,Average
S020286,21,46,21,NIL,Good
S020287,45,37,87,Good,Good
S020288,75,66,93,NIL,Good
S020289,57,43,67,Poor,Good
S020290,49,37,22,Average,Poor
S020291,40,45,78,Poor,Poor
S020292,94,63,99,Poor,Good
S020293,88,48,38,Average,Good
S020294,77,42,43,Good,Good
S020295,93,36,31,NIL,Good
S020296,57,20,21,Poor,Poor
S020297,68,25,23,Average,Good
S020298,76,52,80,NIL,Good
S020299,49,45,44,Average,Poor
S020300,91,96,92,Poor,Good
S020301,57,21,64,Poor,Poor
S020302,76,75,82,NIL,Average
S020303,48,92,21,NIL,Poor
S020304,52,29,84,NIL,Good
S020305,27,52,100,Poor,Good
S020306,59,39,35,Poor,Poor
S020307,63,74,49,Average,Good
S020308,82,100,32,Poor,Good
S020309,94,94,57,NIL,Poor
S020310,38,21,86,Poor,Good
S020311,72,54,95,Poor,Poor
S020312,67,98,63,Good,Poor
S020313,71,41,78,Poor,Good
S020314,67,96,58,Poor,Average
