StudentID,IAT1,IAT2,Model_Mark,Prev_Year_Label,Label
S070001,84,46,73,Good,Poor
S070002,35,88,58,Good,Good
S070003,38,37,49,NIL,Poor
S070004,26,48,31,NIL,Good
S070005,83,60,75,Average,Average
S070006,44,63,88,Average,Good
S070007,48,22,94,NIL,Poor
S070008,42,28,73,Good,Average
S070009,83,72,60,NIL,Good
S070010,62,75,92,Average,Poor
S070011,47,46,74,Average,Average
S070012,29,31,75,Good,Average
S070013,76,57,77,Average,Good
S070014,35,25,62,NIL,Average
S070015,59,73,40,Average,Poor
S070016,66,20,62,Average,Good
S070017,76,88,23,Poor,Good
S070018,54,26,89,Average,Average
S070019,89,61,63,Average,Good
S070020,61,100,28,Average,Average
S070021,54,60,98,Poor,Good
S070022,47,55,74,Poor,Good
S070023,70,48,60,NIL,Good
S070024,48,84,44,NIL,Poor
S070025,81,87,55,Poor,Average
S070026,27,43,22,Poor,Average
S070027,69,62,63,NIL,Good
S070028,24,71,76,NIL,Average
S070029,98,48,93,Poor,Poor
S070030,57,68,54,NIL,Average
S070031,56,22,49,Good,Poor
S070032,85,86,34,Good,Good
S070033,94,59,88,Poor,Poor
S070034,91,94,38,Good,Average
S070035,35,35,70,NIL,Good
S070036,49,48,26,Poor,Average
S070037,62,66,26,Average,Poor
S070038,96,94,38,Poor,Poor
S070039,89,32,78,Average,Poor
S070040,29,37,79,NIL,Average
S070041,97,36,86,Average,Average
S070042,61,49,84,NIL,Good
S070043,31,64,88,NIL,Poor
S070044,30,36,53,NIL,Good
S070045,63,73,95,Poor,Good
S070046,57,23,56,NIL,Good
S070047,27,73,82,Average,Poor
S070048,30,40,45,Average,Good
S070049,99,20,20,Good,Good
S070050,66,65,21,Good,Good
S070051,60,47,59,NIL,Poor
S070052,78,38,55,Average,Poor
S070053,22,44,52,Poor,Average
S070054,48,93,60,Average,Average
S070055,51,93,75,NIL,Poor
S070056,35,97,73,Poor,Average
S070057,82,47,49,Good,Poor
S070058,41,77,33,Good,Good
S070059,84,20,71,Poor,Good
S070060,60,74,99,Poor,Poor
S070061,29,54,30,Average,Good
S070062,94,81,25,NIL,Average
S070063,34,40,84,Poor,Good
S070064,80,99,67,Poor,Poor
S070065,62,27,71,Poor,Average
S070066,53,34,50,Average,Poor
S070067,46,77,57,Poor,Average
S070068,32,93,62,Poor,Good
S070069,44,44,37,Average,Good
S070070,99,34,48,Average,Good
S070071,85,79,63,Average,Good
S070072,49,71,57,NIL,Good
S070073,48,42,28,Poor,Good
S070074,82,29,65,NIL,Good
S070075,49,100,70,Average,Poor
S070076,51,29,67,Poor,Good
S070077,48,77,30,NIL,Good
S070078,67,64,83,Average,Average
S070079,66,36,37,Good,Good
S070080,97,62,37,NIL,Average
S070081,50,83,96,Poor,Good
S070082,89,67,72,Poor,Good
