StudentID,IAT1,IAT2,Model_Mark,Prev_Year_Label,Label
S040001,71,25,34,NIL,Average
S040002,92,85,22,Good,Average
S040003,96,44,65,Poor,Poor
S040004,44,74,80,Good,Good
S040005,21,43,51,Good,Poor
S040006,79,64,84,Average,Average
S040007,68,67,74,Average,Good
S040008,22,100,20,Poor,Poor
S040009,51,75,88,Good,Good
S040010,43,96,24,Poor,Average
S040011,89,68,23,NIL,Poor
S040012,70,43,29,NIL,Good
S040013,86,83,90,Good,Good
S040014,83,88,33,Average,Average
S040015,68,45,47,Good,Poor
S040016,32,91,47,Poor,Average
S040017,77,83,55,Poor,Average
S040018,67,69,38,NIL,Average
S040019,87,50,27,Poor,Poor
S040020,100,92,92,Good,Good
S040021,83,87,89,Good,Good
S040022,83,98,97,NIL,Average
S040023,90,27,36,Average,Average
S040024,20,88,95,Average,Good
S040025,78,70,70,Average,Good
S040026,24,98,31,Poor,Poor
S040027,72,25,70,Good,Poor
S040028,65,40,97,Poor,Poor
S040029,36,45,66,Average,Poor
S040030,68,23,67,NIL,Average
S040031,38,62,28,NIL,Good
S040032,72,34,35,Poor,Good
S040033,73,40,68,NIL,Good
S040034,82,84,65,Poor,Good
S040035,39,85,47,Good,Poor
S040036,26,95,57,Good,Average
S040037,27,74,25,Poor,Poor
S040038,86,44,53,Good,Poor
S040039,65,36,62,Average,Good
S040040,72,23,31,Poor,Good
S040041,99,25,79,Good,Poor
S040042,75,93,72,Poor,Good
S040043,51,24,59,Good,Good
S040044,59,32,24,Poor,Poor
S040045,26,68,81,Good,Average
S040046,62,35,79,Poor,Average
S040047,79,68,51,NIL,Poor
S040048,65,34,74,Average,Average
S040049,85,90,75,Good,Average
S040050,36,73,31,Poor,Good
S040051,67,73,74,Average,Average
S040052,87,84,91,Good,Good
S040053,42,48,83,NIL,Average
S040054,70,70,71,NIL,Poor
S040055,34,32,63,Good,Poor
S040056,88,94,68,Poor,Poor
S040057,43,51,76,NIL,Poor
S040058,36,20,54,NIL,Average
S040059,100,89,57,NIL,Good
S040060,61,85,40,NIL,Average
S040061,60,23,22,Poor,Poor
S040062,34,92,69,Average,Good
S040063,75,31,80,Average,Poor
S040064,55,91,67,Poor,Average
S040065,39,100,43,NIL,Poor
S040066,42,59,76,Poor,Poor
S040067,83,63,45,NIL,Poor
S040068,68,68,96,Average,Good
S040069,30,49,29,Poor,Poor
S040070,74,36,88,Average,Good
S040071,72,83,63,Average,Poor
S040072,43,25,35,Poor,Average
S040073,37,76,34,Poor,Poor
S040074,47,28,99,NIL,Average
S040075,69,89,89,Poor,Poor
S040076,66,42,42,Poor,Good
S040077,36,43,45,Poor,Poor
S040078,70,66,43,NIL,Average
S040079,28,28,51,Average,Average
S040080,94,49,36,NIL,Poor
S040081,84,98,81,Good,Average
S040082,29,45,32,NIL,Poor
S040083,62,73,51,Poor,Good
S040084,20,93,60,Poor,Average
S040085,63,38,82,NIL,Poor
S040086,42,72,28,NIL,Good
S040087,72,94,66,Poor,Poor
S040088,81,94,30,Good,Average
S040089,54,83,87,NIL,Good
S040090,100,24,42,Poor,Average
S040091,65,30,43,NIL,Average
S040092,56,30,71,NIL,Good
S040093,53,44,24,Average,Poor
S040094,49,77,97,Average,Poor
S040095,65,62,81,Average,Good
S040096,68,63,80,NIL,Good
S040097,70,43,90,Average,Average
S040098,64,78,78,NIL,Poor
S040099,55,52,23,Average,Average
S040100,39,24,85,Poor,Good
S040101,34,20,49,Average,Average
S040102,94,74,44,Poor,Poor
S040103,94,97,30,Poor,Poor
S040104,34,46,85,Good,Poor
S040105,98,39,92,Average,Good
S040106,70,91,23,NIL,Good
S040107,71,80,83,Average,Average
S040108,88,86,54,Poor,Poor
S040109,94,91,91,Average,Average
S040110,35,26,72,Poor,Good
S040111,76,39,47,NIL,Good
S040112,35,51,30,NIL,Average
S040113,40,86,96,Poor,Average
S040114,78,70,87,Good,Average
S040115,80,28,68,Poor,Good
S040116,71,82,68,Average,Average
S040117,91,44,91,NIL,Poor
S040118,31,84,82,Good,Average
S040119,57,96,27,Good,Poor
S040120,66,63,52,Good,Good
S040121,56,48,75,Average,Good
S040122,85,71,29,Poor,Good
S040123,44,38,86,Average,Average
S040124,20,87,70,Good,Average
S040125,33,75,77,Poor,Good
S040126,65,48,35,NIL,Poor
S040127,54,68,99,Poor,Poor
S040128,44,78,56,Average,Poor
S040129,56,52,84,Good,Poor
S040130,53,78,32,Poor,Poor
S040131,74,56,76,Average,Average
S040132,25,28,96,NIL,Average
S040133,69,43,62,Good,Good
S040134,47,36,83,Good,Good
S040135,57,94,26,Poor,Good
S040136,39,64,74,Average,Good
S040137,51,87,72,Average,Good
S040138,62,43,30,NIL,Poor
S040139,34,77,54,Poor,Poor
S040140,79,23,66,Average,Average
S040141,69,25,66,Good,Good
S040142,79,87,26,NIL,Average
S040143,63,61,57,Average,Average
S040144,43,50,75,Poor,Poor
S040145,38,42,55,NIL,Poor
S040146,74,74,76,Average,Average
S040147,69,47,52,Average,Average
S040148,32,69,42,NIL,Poor
S040149,38,66,87,Poor,Poor
S040150,54,89,26,Poor,Poor
S040151,55,72,43,Good,Good
S040152,58,43,96,NIL,Average
S040153,39,37,69,NIL,Good
S040154,90,53,76,Average,Poor
S040155,46,87,42,Good,Average
S040156,37,72,99,Average,Poor
S040157,55,86,54,Poor,Average
S040158,86,74,65,NIL,Poor
S040159,56,51,81,Good,Poor
S040160,47,81,92,Good,Poor
S040161,69,40,59,Good,Average
S040162,83,68,56,Average,Good
S040163,53,38,30,Average,Poor
S040164,66,93,82,Poor,Good
S040165,54,92,59,Poor,Poor
S040166,88,42,39,Average,Average
S040167,75,86,94,NIL,Poor
S040168,73,67,93,Good,Average
S040169,87,30,100,Average,Poor
S040170,20,41,61,Average,Good
S040171,38,98,23,Good,Poor
S040172,91,38,61,Poor,Poor
S040173,93,53,52,Poor,Average
S040174,59,85,76,Average,Poor
S040175,22,36,70,Poor,Poor
S040176,90,40,43,NIL,Average
S040177,39,32,24,Poor,Good
S040178,65,73,73,Good,Poor
S040179,51,91,72,Good,Good
S040180,72,86,68,Average,Good
S040181,90,64,58,Average,Average
S040182,83,100,73,Poor,Good
S040183,40,83,49,NIL,Average
S040184,95,92,97,NIL,Good
S040185,36,36,62,NIL,Poor
S040186,94,56,76,Poor,Poor
S040187,74,29,84,Poor,Average
S040188,73,82,52,Average,Poor
S040189,27,93,41,NIL,Good
S040190,31,25,89,Poor,Good
S040191,64,46,93,Good,Good
S040192,67,61,27,Poor,Good
S040193,79,59,24,Good,Good
S040194,40,55,92,Average,Poor
S040195,65,94,48,NIL,Poor
S040196,61,67,32,Good,Average
S040197,85,60,53,NIL,Average
S040198,79,72,40,Good,Poor
S040199,20,36,64,Good,Average
S040200,90,87,76,Poor,Good
S040201,50,61,86,Average,Good
S040202,50,28,72,NIL,Good
S040203,78,62,64,Average,Poor
S040204,85,28,23,NIL,Poor
S040205,68,86,78,Good,Good
S040206,38,68,73,Poor,Average
S040207,29,21,38,Poor,Good
S040208,23,91,50,Good,Good
S040209,53,61,86,Poor,Average
S040210,59,52,100,Average,Average
S040211,50,28,90,Poor,Good
S040212,46,67,52,Good,Poor
S040213,87,68,54,Poor,Average
S040214,96,73,26,Average,Good
S040215,77,87,50,NIL,Good
S040216,86,26,81,Poor,Good
S040217,56,97,74,NIL,Poor
S040218,81,58,50,Poor,Poor
S040219,31,48,94,NIL,Poor
S040220,22,43,60,Good,Good
S040221,80,93,87,Good,Good
S040222,30,49,100,Poor,Average
S040223,59,77,54,Good,Poor
S040224,85,30,82,Poor,Good
S040225,23,70,23,Average,Good
S040226,78,77,29,Good,Poor
S040227,55,61,40,Poor,Good
S040228,97,80,34,Poor,Good
S040229,61,88,36,NIL,Good
S040230,41,99,85,NIL,Poor
S040231,82,51,83,Good,Poor
S040232,81,32,96,Good,Good
S040233,34,61,37,Good,Average
S040234,61,42,73,Poor,Good
S040235,36,66,45,NIL,Poor
S040236,41,65,98,Good,Poor
S040237,61,70,61,Average,Poor
S040238,37,78,84,Average,Average
S040239,52,94,28,Average,Good
S040240,65,80,72,Good,Average
S040241,60,26,30,Average,Average
S040242,37,91,43,Poor,Poor
S040243,78,51,21,Average,Good
S040244,21,77,90,Average,Average
S040245,35,49,95,Average,Average
S040246,97,23,64,Average,Good
